DRAWS,GA,GAMES,GD,GF,LOSES,PLAYOFF_ROUND,POINTS,SHOOT_OUT_LOSES,SHOOT_OUT_WINS,SO,STANDINGS_RANK,TEAM,WINS,YEAR,,,,
,56,32,11,67,17,2,45,5,0,5,4,Columbus Crew SC,15,1998,,,Montreal Impact,2012
,69,32,-7,62,16,1,44,2,2,4,5,Colorado Rapids,16,1998,,,Orlando City SC,2015
,63,32,-9,54,17,1,39,4,3,7,6,New York Red Bulls,15,1998,,,New York City FC,2015
,59,32,-16,43,17,1,37,2,4,6,7,FC Dallas,15,1998,,,Atlanta United FC,2017
,68,32,-22,46,17,1,35,0,5,5,8,Miami Fusion,15,1998,,,Minnesota United FC,2017
,57,32,-11,46,20,0,34,5,1,6,9,Tampa Bay Mutiny,12,1998,,,Los Angeles FC,2018
,60,32,-12,48,19,0,33,5,3,8,10,San Jose Clash,13,1998,,,FC Cincinnati,2019
,50,32,-5,45,20,0,32,4,2,6,11,Sporting Kansas City,12,1998,,,,
,66,32,-13,53,21,0,29,4,2,6,12,New England Revolution,11,1998,,,,
,43,32,22,65,9,4,57,3,6,,1,D.C. United,23,1999,,,,
,29,32,20,49,12,3,54,4,3,,2,LA Galaxy,20,1999,,,,
,35,32,19,54,13,2,51,6,3,,3,FC Dallas,19,1999,,,,
,36,32,15,51,14,1,48,5,3,,4,Chicago Fire,18,1999,,,,
,39,32,-1,38,12,1,48,3,6,,5,Colorado Rapids,20,1999,,,,
,39,32,9,48,13,2,45,4,6,,6,Columbus Crew SC,19,1999,,,,
,49,32,-1,48,13,0,37,3,10,,7,San Jose Clash,19,1999,,,,
,50,32,1,51,18,1,32,7,5,,8,Tampa Bay Mutiny,14,1999,,,,
,59,32,-17,42,19,1,29,4,5,,9,Miami Fusion,13,1999,,,,
,53,32,-15,38,20,0,26,7,5,,10,New England Revolution,12,1999,,,,
,53,32,-20,33,24,0,20,6,2,,11,Sporting Kansas City,8,1999,,,,
,64,32,-32,32,25,0,15,5,3,,12,New York Red Bulls,7,1999,,,,
9,29,32,18,47,7,4,57,,,,1,Sporting Kansas City,16,2000,,,,
6,51,32,16,67,9,3,57,,,,2,Chicago Fire,17,2000,,,,
3,56,32,8,64,12,2,54,,,,3,New York Red Bulls,17,2000,,,,
4,50,32,12,62,12,1,52,,,,4,Tampa Bay Mutiny,16,2000,,,,
8,37,32,10,47,10,2,50,,,,5,LA Galaxy,14,2000,,,,
4,54,32,0,54,14,1,46,,,,6,FC Dallas,14,2000,,,,
6,49,32,-2,47,13,1,45,,,,7,New England Revolution,13,2000,,,,
4,59,32,-16,43,15,1,43,,,,8,Colorado Rapids,13,2000,,,,
5,56,32,-2,54,15,0,41,,,,9,Miami Fusion,12,2000,,,,
5,58,32,-10,48,16,0,38,,,,10,Columbus Crew SC,11,2000,,,,
6,63,32,-19,44,18,0,30,,,,11,D.C. United,8,2000,,,,
8,50,32,-15,35,17,0,29,,,,12,San Jose Earthquakes,7,2000,,,,
5,36,26,21,57,5,2,53,,,,1,Miami Fusion,16,2001,,,,
5,30,27,20,50,6,2,53,,,,2,Chicago Fire,16,2001,,,,
5,36,26,16,52,7,3,47,,,,3,LA Galaxy,14,2001,,,,
6,36,26,13,49,7,1,45,,,,4,Columbus Crew SC,13,2001,,,,
6,29,26,18,47,7,4,45,,,,5,San Jose Earthquakes,13,2001,,,,
3,35,26,3,38,10,1,42,,,,6,New York Red Bulls,13,2001,,,,
3,53,27,-20,33,13,1,36,,,,7,Sporting Kansas City,11,2001,,,,
5,47,26,1,48,11,1,35,,,,8,FC Dallas,10,2001,,,,
6,52,27,-17,35,14,0,27,,,,9,New England Revolution,7,2001,,,,
2,50,26,-8,42,16,0,26,,,,10,D.C. United,8,2001,,,,
8,47,26,-11,36,13,0,23,,,,11,Colorado Rapids,5,2001,,,,
2,68,27,-36,32,21,0,14,,,,12,Tampa Bay Mutiny,4,2001,,,,
3,33,28,11,44,9,4,51,,,,1,LA Galaxy,16,2002,,,,
3,35,28,10,45,11,1,45,,,,2,San Jose Earthquakes,14,2002,,,,
7,43,28,1,44,9,1,43,,,,3,FC Dallas,12,2002,,,,
4,48,28,-5,43,11,2,43,,,,4,Colorado Rapids,13,2002,,,,
2,49,28,0,49,14,3,38,,,,5,New England Revolution,12,2002,,,,
5,43,28,1,44,12,2,38,,,,6,Columbus Crew SC,11,2002,,,,
4,38,28,5,43,13,1,37,,,,7,Chicago Fire,11,2002,,,,
9,45,28,-8,37,10,1,36,,,,8,Sporting Kansas City,9,2002,,,,
2,47,28,-6,41,15,0,35,,,,9,New York Red Bulls,11,2002,,,,
5,40,28,-9,31,14,0,32,,,,10,D.C. United,9,2002,,,,
8,43,30,10,53,7,3,53,,,,1,Chicago Fire,15,2003,,,,
9,35,30,10,45,7,4,51,,,,2,San Jose Earthquakes,14,2003,,,,
9,47,30,8,55,9,2,45,,,,3,New England Revolution,12,2003,,,,
9,44,30,4,48,10,2,42,,,,4,Sporting Kansas City,11,2003,,,,
9,40,30,0,40,10,1,42,,,,5,New York Red Bulls,11,2003,,,,
7,45,30,-5,40,12,1,40,,,,6,Colorado Rapids,11,2003,,,,
9,36,30,2,38,11,1,39,,,,7,D.C. United,10,2003,,,,
8,44,30,0,44,12,0,38,,,,8,Columbus Crew SC,10,2003,,,,
9,35,30,0,35,12,1,36,,,,9,LA Galaxy,9,2003,,,,
5,64,30,-29,35,19,0,23,,,,10,FC Dallas,6,2003,,,,
13,32,30,8,40,5,1,49,,,,1,Columbus Crew SC,12,2004,,,,
7,30,30,8,38,9,3,49,,,,2,Sporting Kansas City,14,2004,,,,
10,40,30,2,42,9,2,43,,,,3,LA Galaxy,11,2004,,,,
9,42,30,1,43,10,4,42,,,,4,D.C. United,11,2004,,,,
11,32,30,-3,29,9,1,41,,,,5,Colorado Rapids,10,2004,,,,
7,49,30,-2,47,12,1,40,,,,6,New York Red Bulls,11,2004,,,,
11,35,30,6,41,10,1,38,,,,7,San Jose Earthquakes,9,2004,,,,
6,45,30,-11,34,14,0,36,,,,8,FC Dallas,10,2004,,,,
9,43,30,-1,42,13,2,33,,,,9,New England Revolution,8,2004,,,,
9,44,30,-8,36,13,0,33,,,,10,Chicago Fire,8,2004,,,,
10,31,32,22,53,4,1,64,,,,1,San Jose Earthquakes,18,2005,,,,
8,37,32,18,55,7,3,59,,,,2,New England Revolution,17,2005,,,,
6,37,32,21,58,10,1,54,,,,3,D.C. United,16,2005,,,,
4,50,32,-1,49,13,2,49,,,,4,Chicago Fire,15,2005,,,,
9,44,32,8,52,10,1,48,,,,5,FC Dallas,13,2005,,,,
11,49,32,4,53,9,1,47,,,,6,New York Red Bulls,12,2005,,,,
6,37,32,3,40,13,2,45,,,,7,Colorado Rapids,13,2005,,,,
6,45,32,-1,44,13,4,45,,,,8,LA Galaxy,13,2005,,,,
12,44,32,8,52,9,0,45,,,,9,Sporting Kansas City,11,2005,,,,
5,45,32,-11,34,16,0,38,,,,10,Columbus Crew SC,11,2005,,,,
5,65,32,-35,30,22,0,20,,,,11,Real Salt Lake,5,2005,,,,
6,67,32,-36,31,22,0,18,,,,12,Chivas USA,4,2005,,,,
10,38,32,14,52,7,2,55,,,,1,D.C. United,15,2006,,,,
4,44,32,4,48,12,1,52,,,,2,FC Dallas,16,2006,,,,
12,35,32,4,39,8,3,48,,,,3,New England Revolution,12,2006,,,,
8,41,32,2,43,11,1,47,,,,4,Chicago Fire,13,2006,,,,
13,40,32,4,44,8,4,46,,,,5,Houston Dynamo,11,2006,,,,
13,42,32,3,45,9,1,43,,,,6,Chivas USA,10,2006,,,,
8,49,32,-13,36,13,2,41,,,,7,Colorado Rapids,11,2006,,,,
12,41,32,0,41,11,1,39,,,,8,New York Red Bulls,9,2006,,,,
6,37,32,0,37,15,0,39,,,,9,LA Galaxy,11,2006,,,,
9,49,32,-4,45,13,0,39,,,,10,Real Salt Lake,10,2006,,,,
8,45,32,-2,43,14,0,38,,,,11,Sporting Kansas City,10,2006,,,,
9,42,32,-12,30,15,0,33,,,,12,Columbus Crew SC,8,2006,,,,
7,34,30,22,56,7,1,55,,,,1,D.C. United,16,2007,,,,
8,28,30,18,46,7,1,53,,,,2,Chivas USA,15,2007,,,,
7,23,30,20,43,8,4,52,,,,3,Houston Dynamo,15,2007,,,,
8,43,30,8,51,8,3,50,,,,4,New England Revolution,14,2007,,,,
5,44,30,-7,37,12,1,44,,,,5,FC Dallas,13,2007,,,,
7,45,30,2,47,11,1,43,,,,6,New York Red Bulls,12,2007,,,,
10,36,30,-5,31,10,2,40,,,,7,Chicago Fire,10,2007,,,,
7,45,30,0,45,12,2,40,,,,8,Sporting Kansas City,11,2007,,,,
10,44,30,-5,39,11,0,37,,,,9,Columbus Crew SC,9,2007,,,,
8,34,30,-5,29,13,0,35,,,,10,Colorado Rapids,9,2007,,,,
7,48,30,-10,38,14,0,34,,,,11,LA Galaxy,9,2007,,,,
9,45,30,-14,31,15,0,27,,,,12,Real Salt Lake,6,2007,,,,
7,49,30,-24,25,17,0,25,,,,13,Toronto FC,6,2007,,,,
6,36,30,14,50,7,4,57,,,,1,Columbus Crew SC,17,2008,,,,
12,32,30,13,45,5,1,51,,,,2,Houston Dynamo,13,2008,,,,
7,33,30,11,44,10,2,46,,,,3,Chicago Fire,13,2008,,,,
7,41,30,-1,40,11,1,43,,,,4,Chivas USA,12,2008,,,,
7,43,30,-3,40,11,1,43,,,,5,New England Revolution,12,2008,,,,
9,39,30,-2,37,10,1,42,,,,6,Sporting Kansas City,11,2008,,,,
10,39,30,1,40,10,2,40,,,,7,Real Salt Lake,10,2008,,,,
9,48,30,-6,42,11,3,39,,,,8,New York Red Bulls,10,2008,,,,
5,45,30,-1,44,14,0,38,,,,9,Colorado Rapids,11,2008,,,,
4,51,30,-8,43,15,0,37,,,,10,D.C. United,11,2008,,,,
12,41,30,4,45,10,0,36,,,,11,FC Dallas,8,2008,,,,
8,43,30,-9,34,13,0,35,,,,12,Toronto FC,9,2008,,,,
9,62,30,-7,55,13,0,33,,,,13,LA Galaxy,8,2008,,,,
9,38,30,-6,32,13,0,33,,,,14,San Jose Earthquakes,8,2008,,,,
10,31,30,10,41,7,1,49,,,,1,Columbus Crew SC,13,2009,,,,
12,31,30,5,36,6,3,48,,,,2,LA Galaxy,12,2009,,,,
9,29,30,10,39,8,2,48,,,,3,Houston Dynamo,13,2009,,,,
11,29,30,9,38,7,1,47,,,,4,Seattle Sounders FC,12,2009,,,,
12,34,30,5,39,7,2,45,,,,5,Chicago Fire,11,2009,,,,
6,31,30,3,34,11,1,45,,,,6,Chivas USA,13,2009,,,,
9,37,30,-4,33,10,1,42,,,,7,New England Revolution,11,2009,,,,
13,44,30,-1,43,8,0,40,,,,8,D.C. United,9,2009,,,,
7,35,30,8,43,12,4,40,,,,9,Real Salt Lake,11,2009,,,,
10,38,30,4,42,10,0,40,,,,10,Colorado Rapids,10,2009,,,,
9,46,30,-9,37,11,0,39,,,,11,Toronto FC,10,2009,,,,
6,47,30,3,50,13,0,39,,,,12,FC Dallas,11,2009,,,,
9,42,30,-9,33,13,0,33,,,,13,Sporting Kansas City,8,2009,,,,
9,50,30,-14,36,14,0,30,,,,14,San Jose Earthquakes,7,2009,,,,
6,47,30,-20,27,19,0,21,,,,15,New York Red Bulls,5,2009,,,,
5,26,30,18,44,7,2,59,,,,1,LA Galaxy,18,2010,,,,
11,20,30,25,45,4,1,56,,,,2,Real Salt Lake,15,2010,,,,
6,29,30,9,38,9,1,51,,,,3,New York Red Bulls,15,2010,,,,
14,28,30,14,42,4,3,50,,,,4,FC Dallas,12,2010,,,,
8,34,30,6,40,8,1,50,,,,5,Columbus Crew SC,14,2010,,,,
6,35,30,4,39,10,1,48,,,,6,Seattle Sounders FC,14,2010,,,,
10,32,30,12,44,8,4,46,,,,7,Colorado Rapids,12,2010,,,,
7,33,30,1,34,10,2,46,,,,8,San Jose Earthquakes,13,2010,,,,
6,35,30,1,36,13,0,39,,,,9,Sporting Kansas City,11,2010,,,,
9,38,30,-1,37,12,0,36,,,,10,Chicago Fire,9,2010,,,,
8,41,30,-8,33,13,0,35,,,,11,Toronto FC,9,2010,,,,
6,49,30,-9,40,15,0,33,,,,12,Houston Dynamo,9,2010,,,,
5,50,30,-18,32,16,0,32,,,,13,New England Revolution,9,2010,,,,
7,49,30,-14,35,15,0,31,,,,14,Philadelphia Union,8,2010,,,,
4,45,30,-14,31,18,0,28,,,,15,Chivas USA,8,2010,,,,
4,47,30,-26,21,20,0,22,,,,16,D.C. United,6,2010,,,,
10,28,34,20,48,5,4,67,,,,1,LA Galaxy,19,2011,,,,
9,37,34,19,56,7,1,63,,,,2,Seattle Sounders FC,18,2011,,,,
8,36,34,8,44,11,2,53,,,,3,Real Salt Lake,15,2011,,,,
7,39,34,3,42,12,0.5,52,,,,4,FC Dallas,15,2011,,,,
12,40,34,10,50,9,2,51,,,,5,Sporting Kansas City,13,2011,,,,
13,42,34,4,46,9,1,49,,,,6,Colorado Rapids,12,2011,,,,
13,41,34,4,45,9,3,49,,,,7,Houston Dynamo,12,2011,,,,
15,36,34,8,44,8,1,48,,,,8,Philadelphia Union,11,2011,,,,
8,44,34,-1,43,13,0.5,47,,,,9,Columbus Crew SC,13,2011,,,,
16,44,34,6,50,8,1,46,,,,10,New York Red Bulls,10,2011,,,,
16,45,34,1,46,9,0,43,,,,11,Chicago Fire,9,2011,,,,
9,48,34,-8,40,14,0,42,,,,12,Portland Timbers,11,2011,,,,
12,52,34,-3,49,13,0,39,,,,13,D.C. United,9,2011,,,,
14,45,34,-5,40,12,0,38,,,,14,San Jose Earthquakes,8,2011,,,,
12,43,34,-2,41,14,0,36,,,,15,Chivas USA,8,2011,,,,
15,59,34,-23,36,13,0,33,,,,16,Toronto FC,6,2011,,,,
10,55,34,-20,35,18,0,28,,,,17,Vancouver Whitecaps FC,6,2011,,,,
13,58,34,-20,38,16,0,28,,,,18,New England Revolution,5,2011,,,,
9,43,34,29,72,6,1,66,,,,1,San Jose Earthquakes,19,2012,,,,
9,27,34,15,42,7,1,63,,,,2,Sporting Kansas City,18,2012,,,,
7,43,34,10,53,10,2,58,,,,3,D.C. United,17,2012,,,,
9,46,34,11,57,9,1,57,,,,4,New York Red Bulls,16,2012,,,,
6,41,34,5,46,11,0.5,57,,,,5,Chicago Fire,17,2012,,,,
6,35,34,11,46,11,1,57,,,,6,Real Salt Lake,17,2012,,,,
11,33,34,18,51,8,2,56,,,,7,Seattle Sounders FC,15,2012,,,,
6,47,34,12,59,12,4,54,,,,8,LA Galaxy,16,2012,,,,
11,41,34,7,48,9,3,53,,,,9,Houston Dynamo,14,2012,,,,
7,44,34,0,44,12,0,52,,,,10,Columbus Crew SC,15,2012,,,,
10,41,34,-6,35,13,0.5,43,,,,11,Vancouver Whitecaps FC,11,2012,,,,
6,51,34,-6,45,16,0,42,,,,12,Montreal Impact,12,2012,,,,
12,47,34,-5,42,13,0,39,,,,13,FC Dallas,9,2012,,,,
4,50,34,-6,44,19,0,37,,,,14,Colorado Rapids,11,2012,,,,
6,45,34,-8,37,18,0,36,,,,15,Philadelphia Union,10,2012,,,,
8,44,34,-5,39,17,0,35,,,,16,New England Revolution,9,2012,,,,
10,56,34,-22,34,16,0,34,,,,17,Portland Timbers,8,2012,,,,
9,58,34,-34,24,18,0,30,,,,18,Chivas USA,7,2012,,,,
8,62,34,-26,36,21,0,23,,,,19,Toronto FC,5,2012,,,,
8,41,34,17,58,9,1,59,,,,1,New York Red Bulls,17,2013,,,,
7,30,34,17,47,10,4,58,,,,2,Sporting Kansas City,17,2013,,,,
15,33,34,21,54,5,2,57,,,,3,Portland Timbers,14,2013,,,,
8,41,34,16,57,10,3,56,,,,4,Real Salt Lake,16,2013,,,,
8,38,34,15,53,11,1,53,,,,5,LA Galaxy,15,2013,,,,
7,42,34,0,42,12,1,52,,,,6,Seattle Sounders FC,15,2013,,,,
9,38,34,11,49,11,1,51,,,,7,New England Revolution,14,2013,,,,
9,41,34,0,41,11,2,51,,,,8,Houston Dynamo,14,2013,,,,
9,38,34,7,45,11,0.5,51,,,,9,Colorado Rapids,14,2013,,,,
9,42,34,-7,35,11,0,51,,,,10,San Jose Earthquakes,14,2013,,,,
7,49,34,1,50,13,0.5,49,,,,11,Montreal Impact,14,2013,,,,
7,52,34,-5,47,13,0,49,,,,12,Chicago Fire,14,2013,,,,
9,45,34,8,53,12,0,48,,,,13,Vancouver Whitecaps FC,13,2013,,,,
10,44,34,-2,42,12,0,46,,,,14,Philadelphia Union,12,2013,,,,
11,52,34,-4,48,12,0,44,,,,15,FC Dallas,11,2013,,,,
5,46,34,-4,42,17,0,41,,,,16,Columbus Crew SC,12,2013,,,,
11,47,34,-17,30,17,0,29,,,,17,Toronto FC,6,2013,,,,
8,67,34,-37,30,20,0,26,,,,18,Chivas USA,6,2013,,,,
7,59,34,-37,22,24,0,16,,,,19,D.C. United,3,2013,,,,
4,50,34,15,65,10,2,64,,,,1,Seattle Sounders FC,20,2014,,,,
10,37,34,32,69,7,4,61,,,,2,LA Galaxy,17,2014,,,,
8,37,34,15,52,9,1,59,,,,3,D.C. United,17,2014,,,,
11,39,34,15,54,8,1,56,,,,4,Real Salt Lake,15,2014,,,,
4,37,34,14,51,13,3,55,,,,5,New England Revolution,17,2014,,,,
6,45,34,10,55,12,1,54,,,,6,FC Dallas,16,2014,,,,
10,42,34,10,52,10,1,52,,,,7,Columbus Crew SC,14,2014,,,,
11,50,34,5,55,10,2,50,,,,8,New York Red Bulls,13,2014,,,,
14,40,34,2,42,8,0.5,50,,,,9,Vancouver Whitecaps FC,12,2014,,,,
7,41,34,7,48,13,0.5,49,,,,10,Sporting Kansas City,14,2014,,,,
13,52,34,9,61,9,0,49,,,,11,Portland Timbers,12,2014,,,,
12,51,34,0,51,12,0,42,,,,12,Philadelphia Union,10,2014,,,,
8,54,34,-10,44,15,0,41,,,,13,Toronto FC,11,2014,,,,
6,58,34,-19,39,17,0,39,,,,14,Houston Dynamo,11,2014,,,,
18,51,34,-10,41,10,0,36,,,,15,Chicago Fire,6,2014,,,,
6,61,34,-32,29,19,0,33,,,,16,Chivas USA,9,2014,,,,
8,62,34,-19,43,18,0,32,,,,17,Colorado Rapids,8,2014,,,,
12,50,34,-15,35,16,0,30,,,,18,San Jose Earthquakes,6,2014,,,,
10,58,34,-20,38,18,0,28,,,,19,Montreal Impact,6,2014,,,,
6,43,34,19,62,10,2,60,,,,1,New York Red Bulls,18,2015,,,,
6,39,34,13,52,10,2,60,,,,2,FC Dallas,18,2015,,,,
8,53,34,5,58,11,3,53,,,,3,Columbus Crew SC,15,2015,,,,
5,36,34,9,45,13,1,53,,,,4,Vancouver Whitecaps FC,16,2015,,,,
8,39,34,2,41,11,4,53,,,,5,Portland Timbers,15,2015,,,,
6,44,34,4,48,13,1,51,,,,6,Montreal Impact,15,2015,,,,
6,45,34,-2,43,13,1,51,,,,7,D.C. United,15,2015,,,,
6,36,34,8,44,13,1,51,,,,8,Seattle Sounders FC,15,2015,,,,
9,46,34,10,56,11,0.5,51,,,,9,LA Galaxy,14,2015,,,,
9,45,34,3,48,11,0.5,51,,,,10,Sporting Kansas City,14,2015,,,,
8,47,34,1,48,12,0.5,50,,,,11,New England Revolution,14,2015,,,,
4,58,34,0,58,15,0.5,49,,,,12,Toronto FC,15,2015,,,,
8,39,34,2,41,13,0,47,,,,13,San Jose Earthquakes,13,2015,,,,
8,56,34,-10,46,14,0,44,,,,14,Orlando City SC,12,2015,,,,
9,49,34,-7,42,14,0,42,,,,15,Houston Dynamo,11,2015,,,,
8,48,34,-10,38,15,0,41,,,,16,Real Salt Lake,11,2015,,,,
7,58,34,-9,49,17,0,37,,,,17,New York City FC,10,2015,,,,
7,55,34,-13,42,17,0,37,,,,18,Philadelphia Union,10,2015,,,,
10,43,34,-10,33,15,0,37,,,,19,Colorado Rapids,9,2015,,,,
6,58,34,-15,43,20,0,30,,,,20,Chicago Fire,8,2015,,,,
9,40,34,10,50,8,1,60,,,,1,FC Dallas,17,2016,,,,
13,32,34,7,39,6,1,58,,,,2,Colorado Rapids,15,2016,,,,
9,44,34,17,61,9,1,57,,,,3,New York Red Bulls,16,2016,,,,
9,57,34,5,62,10,1,54,,,,4,New York City FC,15,2016,,,,
11,39,34,12,51,9,2,53,,,,5,Toronto FC,14,2016,,,,
16,39,34,15,54,6,3,52,,,,6,LA Galaxy,12,2016,,,,
6,43,34,1,44,14,4,48,,,,7,Seattle Sounders FC,14,2016,,,,
8,41,34,1,42,13,0.5,47,,,,8,Sporting Kansas City,13,2016,,,,
13,47,34,6,53,10,0.5,46,,,,9,D.C. United,11,2016,,,,
10,46,34,-2,44,12,0.5,46,,,,10,Real Salt Lake,12,2016,,,,
12,53,34,-4,49,11,2,45,,,,11,Montreal Impact,11,2016,,,,
8,53,34,-5,48,14,0,44,,,,12,Portland Timbers,12,2016,,,,
9,55,34,-3,52,14,0.5,42,,,,13,Philadelphia Union,11,2016,,,,
9,54,34,-10,44,14,0,42,,,,14,New England Revolution,11,2016,,,,
14,60,34,-5,55,11,0,41,,,,15,Orlando City SC,9,2016,,,,
9,52,34,-7,45,15,0,39,,,,16,Vancouver Whitecaps FC,10,2016,,,,
14,40,34,-8,32,12,0,38,,,,17,San Jose Earthquakes,8,2016,,,,
12,58,34,-8,50,14,0,36,,,,18,Columbus Crew SC,8,2016,,,,
13,45,34,-6,39,14,0,34,,,,19,Houston Dynamo,7,2016,,,,
10,58,34,-16,42,17,0,31,,,,20,Chicago Fire,7,2016,,,,
9,37,34,37,74,5,4,69,,,,1,Toronto FC,20,2017,,,,
9,43,34,13,56,9,1,57,,,,2,New York City FC,16,2017,,,,
7,48,34,14,62,11,0.5,55,,,,3,Chicago Fire,16,2017,,,,
10,40,34,30,70,9,0.5,55,,,,4,Atlanta United FC,15,2017,,,,
6,49,34,4,53,12,2,54,,,,5,Columbus Crew SC,16,2017,,,,
8,50,34,10,60,11,1,53,,,,6,Portland Timbers,15,2017,,,,
11,39,34,13,52,9,3,53,,,,7,Seattle Sounders FC,14,2017,,,,
7,49,34,1,50,12,1,52,,,,8,Vancouver Whitecaps FC,15,2017,,,,
11,45,34,12,57,10,2,50,,,,9,Houston Dynamo,13,2017,,,,
8,47,34,6,53,12,1,50,,,,10,New York Red Bulls,14,2017,,,,
13,29,34,11,40,9,0.5,49,,,,11,Sporting Kansas City,12,2017,,,,
7,60,34,-21,39,14,0.5,46,,,,12,San Jose Earthquakes,13,2017,,,,
13,48,34,0,48,10,0,46,,,,13,FC Dallas,11,2017,,,,
6,56,34,-8,48,15,0,45,,,,14,Real Salt Lake,13,2017,,,,
6,61,34,-8,53,15,0,45,,,,15,New England Revolution,13,2017,,,,
9,47,34,3,50,14,0,42,,,,16,Philadelphia Union,11,2017,,,,
6,58,34,-6,52,17,0,39,,,,17,Montreal Impact,11,2017,,,,
9,58,34,-19,39,15,0,39,,,,18,Orlando City SC,10,2017,,,,
6,70,34,-23,47,18,0,36,,,,19,Minnesota United FC,10,2017,,,,
6,51,34,-20,31,19,0,33,,,,20,Colorado Rapids,9,2017,,,,
8,67,34,-22,45,18,0,32,,,,21,LA Galaxy,8,2017,,,,
5,60,34,-29,31,20,0,32,,,,22,D.C. United,9,2017,,,,
5,33,34,29,62,7,2,71,,,,1,New York Red Bulls,22,2018,,,,
6,44,34,26,70,7,4,69,,,,2,Atlanta United FC,21,2018,,,,
8,40,34,25,65,8,2,62,,,,3,Sporting Kansas City,18,2018,,,,
5,37,34,15,52,11,1,59,,,,4,Seattle Sounders FC,18,2018,,,,
9,52,34,16,68,9,0.5,57,,,,5,Los Angeles FC,16,2018,,,,
9,44,34,8,52,9,0.5,57,,,,6,FC Dallas,16,2018,,,,
8,45,34,14,59,10,1,56,,,,7,New York City FC,16,2018,,,,
9,48,34,6,54,10,3,54,,,,8,Portland Timbers,15,2018,,,,
9,50,34,10,60,11,0.5,51,,,,9,D.C. United,14,2018,,,,
9,45,34,-2,43,11,1,51,,,,10,Columbus Crew SC,14,2018,,,,
5,50,34,-1,49,14,0.5,50,,,,11,Philadelphia Union,15,2018,,,,
7,58,34,-3,55,13,1,49,,,,12,Real Salt Lake,14,2018,,,,
9,64,34,2,66,12,0,48,,,,13,LA Galaxy,13,2018,,,,
8,67,34,-13,54,13,0,47,,,,14,Vancouver Whitecaps FC,13,2018,,,,
4,53,34,-6,47,16,0,46,,,,15,Montreal Impact,14,2018,,,,
11,55,34,-6,49,13,0,41,,,,16,New England Revolution,10,2018,,,,
8,58,34,0,58,16,0,38,,,,17,Houston Dynamo,10,2018,,,,
6,64,34,-5,59,18,0,36,,,,18,Toronto FC,10,2018,,,,
3,71,34,-22,49,20,0,36,,,,19,Minnesota United FC,11,2018,,,,
8,61,34,-13,48,18,0,32,,,,20,Chicago Fire,8,2018,,,,
7,63,34,-27,36,19,0,31,,,,21,Colorado Rapids,8,2018,,,,
4,74,34,-31,43,22,0,28,,,,22,Orlando City SC,8,2018,,,,
9,71,34,-22,49,21,0,21,,,,23,San Jose Earthquakes,4,2018,,,,
9,37,34,48,85,4,2,72,,,,1,Los Angeles FC,21,2019,,,,
10,42,34,21,63,6,1,64,,,,2,New York City FC,18,2019,,,,
4,43,34,15,58,12,2,58,,,,3,Atlanta United FC,18,2019,,,,
8,49,34,2,51,10,4,56,,,,4,Seattle Sounders FC,16,2019,,,,
